Date,Ticker,FinBERT_Positive,FinBERT_Negative,FinBERT_Neutral,Volume_Messages,Score_Net,Bullishness_Index,Polarite_Index
2026-04-15,UNH,1.0,0.0,0.0,1,1.0,1.0,1.0
2026-04-16,AAPL,0.0354,0.0926,0.872,3,-0.0572,0.2766,0.128
2026-04-16,BRK-B,0.3333,0.0,0.6667,3,0.3333,1.0,0.3333
2026-04-16,GOOGL,0.6596,0.0009,0.3395,3,0.6587,0.9986,0.6605
2026-04-16,JPM,0.0016,0.39,0.6084,2,-0.3884,0.0041,0.3916
2026-04-16,TSLA,0.9969,0.0,0.0031,3,0.9969,1.0,0.9969
2026-04-16,UNH,0.2644,0.0287,0.7068,3,0.2357,0.902,0.2932
2026-04-17,AAPL,0.0236,0.0056,0.9709,2,0.018,0.8093,0.0291
2026-04-17,BRK-B,0.0,0.0176,0.9824,2,-0.0176,0.0001,0.0176
2026-04-17,GOOGL,0.9997,0.0,0.0003,1,0.9997,1.0,0.9997
2026-04-17,MSFT,0.6923,0.0006,0.3071,3,0.6917,0.9991,0.6929
2026-04-17,TSLA,0.3336,0.0024,0.664,3,0.3311,0.9928,0.336
2026-04-17,UNH,0.8245,0.0082,0.1672,6,0.8163,0.9901,0.8328
2026-04-18,AAPL,0.8184,0.0271,0.1544,2,0.7913,0.9679,0.8456
2026-04-18,BRK-B,0.038,0.5703,0.3917,2,-0.5324,0.0624,0.6083
2026-04-18,GOOGL,0.0,0.0111,0.9889,2,-0.011,0.0038,0.0111
2026-04-18,MSFT,0.5001,0.0016,0.4983,2,0.4986,0.9969,0.5017
2026-04-18,TSLA,0.3334,0.0004,0.6662,3,0.333,0.9988,0.3338
2026-04-18,UNH,0.339,0.2555,0.4055,3,0.0836,0.5703,0.5945
2026-04-19,AMZN,0.0,1.0,0.0,1,-1.0,0.0,1.0
2026-04-19,BRK-B,0.0001,0.0001,0.9998,1,0.0,0.5489,0.0002
2026-04-19,TSLA,0.7552,0.033,0.2118,4,0.7222,0.9581,0.7882
2026-04-19,UNH,0.75,0.0003,0.2496,4,0.7497,0.9995,0.7504
2026-04-20,AAPL,0.167,0.0258,0.8072,6,0.1411,0.866,0.1928
2026-04-20,AMZN,0.3567,0.0001,0.6432,6,0.3567,0.9999,0.3568
2026-04-20,BRK-B,0.1672,0.0233,0.8095,6,0.1439,0.8775,0.1905
2026-04-20,GOOGL,0.2548,0.0548,0.6904,4,0.1999,0.8229,0.3096
2026-04-20,JPM,0.6044,0.1237,0.2719,8,0.4807,0.8301,0.7281
2026-04-20,META,0.0025,0.0002,0.9973,1,0.0023,0.919,0.0027
2026-04-20,MSFT,0.3957,0.3236,0.2807,8,0.0721,0.5501,0.7193
2026-04-20,TSLA,0.1713,0.0039,0.8248,5,0.1673,0.9775,0.1752
2026-04-20,UNH,0.3691,0.2663,0.3646,23,0.1028,0.5809,0.6354
2026-04-21,AAPL,0.0994,0.0212,0.8793,5,0.0782,0.8241,0.1207
2026-04-21,AMZN,0.2528,0.0002,0.7471,3,0.2526,0.9993,0.2529
2026-04-21,BRK-B,0.4273,0.0036,0.569,7,0.4237,0.9916,0.431
2026-04-21,GOOGL,0.0,0.0001,0.9999,1,-0.0001,0.0927,0.0001
2026-04-21,JPM,0.5132,0.1625,0.3243,46,0.3508,0.7596,0.6757
2026-04-21,META,0.5013,0.0001,0.4986,4,0.5012,0.9998,0.5014
2026-04-21,MSFT,0.7502,0.0268,0.223,4,0.7235,0.9655,0.777
2026-04-21,TSLA,0.3411,0.2899,0.369,3,0.0512,0.5406,0.631
2026-04-21,UNH,0.6075,0.0917,0.3008,115,0.5159,0.8689,0.6992
2026-04-22,AAPL,0.1526,0.3561,0.4913,5,-0.2035,0.3,0.5087
2026-04-22,AMZN,0.5079,0.0055,0.4865,2,0.5024,0.9893,0.5135
2026-04-22,BRK-B,0.2193,0.0753,0.7054,8,0.144,0.7444,0.2946
2026-04-22,GOOGL,0.9181,0.0,0.0819,2,0.918,1.0,0.9181
2026-04-22,JPM,0.336,0.0151,0.6488,25,0.3209,0.9569,0.3512
2026-04-22,MSFT,1.0,0.0,0.0,4,1.0,1.0,1.0
2026-04-22,TSLA,0.1246,0.3593,0.5161,4,-0.2347,0.2575,0.4839
2026-04-22,UNH,0.7823,0.1039,0.1139,39,0.6784,0.8828,0.8861
2026-04-23,AAPL,0.2594,0.2593,0.4813,4,0.0001,0.5,0.5187
2026-04-23,AMZN,0.6381,0.3334,0.0285,3,0.3048,0.6569,0.9715
2026-04-23,BRK-B,0.2001,0.0446,0.7553,5,0.1556,0.8179,0.2447
2026-04-23,GOOGL,0.0,0.0001,0.9999,1,-0.0001,0.08,0.0001
2026-04-23,JPM,0.3345,0.2242,0.4413,18,0.1103,0.5987,0.5587
2026-04-23,META,0.3304,0.0788,0.5908,6,0.2516,0.8074,0.4092
2026-04-23,MSFT,0.1729,0.1847,0.6424,6,-0.0117,0.4836,0.3576
2026-04-23,TSLA,0.252,0.3831,0.3649,8,-0.1311,0.3968,0.6351
2026-04-23,UNH,0.6102,0.0485,0.3413,21,0.5617,0.9264,0.6587
2026-04-24,AAPL,0.5,0.0007,0.4993,2,0.4994,0.9987,0.5007
2026-04-24,AMZN,0.4238,0.076,0.5003,6,0.3478,0.848,0.4997
2026-04-24,BRK-B,0.4001,0.0002,0.5997,5,0.3999,0.9995,0.4003
2026-04-24,GOOGL,0.0002,0.0001,0.9997,1,0.0,0.5438,0.0003
2026-04-24,JPM,0.2921,0.2375,0.4704,35,0.0546,0.5516,0.5296
2026-04-24,META,0.455,0.0007,0.5442,3,0.4543,0.9984,0.4558
2026-04-24,MSFT,0.0241,0.0086,0.9673,1,0.0155,0.7373,0.0327
2026-04-24,TSLA,0.2499,0.4365,0.3136,4,-0.1867,0.364,0.6864
2026-04-24,UNH,0.4979,0.1123,0.3898,18,0.3856,0.816,0.6102
2026-04-25,AMZN,0.0079,0.0271,0.965,2,-0.0191,0.2268,0.035
2026-04-25,BRK-B,0.226,0.293,0.481,9,-0.067,0.4354,0.519
2026-04-25,GOOGL,0.9999,0.0,0.0001,1,0.9999,1.0,0.9999
2026-04-25,JPM,0.2827,0.1059,0.6113,10,0.1768,0.7274,0.3887
2026-04-25,META,0.9852,0.0001,0.0147,1,0.9851,0.9999,0.9853
2026-04-25,MSFT,0.0,0.0,1.0,1,-0.0,0.4415,0.0
2026-04-25,TSLA,0.0,0.0007,0.9993,1,-0.0007,0.0151,0.0007
2026-04-25,UNH,0.5196,0.0002,0.4802,4,0.5195,0.9997,0.5198
2026-04-26,AMZN,0.3378,0.3331,0.3291,3,0.0048,0.5036,0.6709
2026-04-26,BRK-B,0.5862,0.0039,0.4098,5,0.5823,0.9933,0.5902
2026-04-26,GOOGL,0.0009,0.2352,0.764,1,-0.2343,0.0037,0.236
2026-04-26,JPM,0.3425,0.0097,0.6478,3,0.3328,0.9725,0.3522
2026-04-26,META,0.0001,0.0005,0.9994,2,-0.0005,0.0887,0.0006
2026-04-26,MSFT,0.6668,0.0,0.3332,3,0.6668,0.9999,0.6668
2026-04-26,TSLA,0.0029,0.3627,0.6344,3,-0.3598,0.0079,0.3656
2026-04-26,UNH,0.6836,0.003,0.3133,7,0.6806,0.9956,0.6867
2026-04-27,AAPL,0.1449,0.068,0.7871,7,0.0768,0.6804,0.2129
2026-04-27,AMZN,0.4795,0.002,0.5185,4,0.4775,0.9959,0.4815
2026-04-27,BRK-B,0.004,0.0002,0.9957,3,0.0038,0.9424,0.0043
2026-04-27,GOOGL,0.4994,0.0001,0.5005,4,0.4993,0.9998,0.4995
2026-04-27,JPM,0.1209,0.1667,0.7124,32,-0.0458,0.4203,0.2876
2026-04-27,META,0.056,0.1865,0.7575,2,-0.1305,0.2309,0.2425
2026-04-27,MSFT,0.0001,0.3479,0.652,3,-0.3478,0.0002,0.348
2026-04-27,TSLA,0.3688,0.1564,0.4748,76,0.2125,0.7023,0.5252
